episode,mean_return,std_return
1.000000000000000000e+00,-1.000000000000000000e+02,0.000000000000000000e+00
2.000000000000000000e+00,-1.000000000000000000e+02,0.000000000000000000e+00
3.000000000000000000e+00,-1.000000000000000000e+02,0.000000000000000000e+00
4.000000000000000000e+00,-1.000000000000000000e+02,0.000000000000000000e+00
5.000000000000000000e+00,-1.000000000000000000e+02,0.000000000000000000e+00
6.000000000000000000e+00,-1.000000000000000000e+02,0.000000000000000000e+00
7.000000000000000000e+00,-1.000000000000000000e+02,0.000000000000000000e+00
8.000000000000000000e+00,-1.000000000000000000e+02,0.000000000000000000e+00
9.000000000000000000e+00,-1.000000000000000000e+02,0.000000000000000000e+00
1.000000000000000000e+01,-1.000000000000000000e+02,0.000000000000000000e+00
1.100000000000000000e+01,-1.000000000000000000e+02,0.000000000000000000e+00
1.200000000000000000e+01,-1.000000000000000000e+02,0.000000000000000000e+00
1.300000000000000000e+01,-1.000000000000000000e+02,0.000000000000000000e+00
1.400000000000000000e+01,-1.000000000000000000e+02,0.000000000000000000e+00
1.500000000000000000e+01,-1.000000000000000000e+02,0.000000000000000000e+00
1.600000000000000000e+01,-9.800000000000000000e+01,1.989974874213239886e+01
1.700000000000000000e+01,-1.000000000000000000e+02,0.000000000000000000e+00
1.800000000000000000e+01,-1.000000000000000000e+02,0.000000000000000000e+00
1.900000000000000000e+01,-1.000000000000000000e+02,0.000000000000000000e+00
2.000000000000000000e+01,-1.000000000000000000e+02,0.000000000000000000e+00
2.100000000000000000e+01,-1.000000000000000000e+02,0.000000000000000000e+00
2.200000000000000000e+01,-9.800000000000000000e+01,1.989974874213239886e+01
2.300000000000000000e+01,-1.000000000000000000e+02,0.000000000000000000e+00
2.400000000000000000e+01,-9.800000000000000000e+01,1.989974874213239886e+01
2.500000000000000000e+01,-1.000000000000000000e+02,0.000000000000000000e+00
2.600000000000000000e+01,-1.000000000000000000e+02,0.000000000000000000e+00
2.700000000000000000e+01,-1.000000000000000000e+02,0.000000000000000000e+00
2.800000000000000000e+01,-9.600000000000000000e+01,2.800000000000000000e+01
2.900000000000000000e+01,-9.800000000000000000e+01,1.989974874213239886e+01
3.000000000000000000e+01,-1.000000000000000000e+02,0.000000000000000000e+00
3.100000000000000000e+01,-1.000000000000000000e+02,0.000000000000000000e+00
3.200000000000000000e+01,-1.000000000000000000e+02,0.000000000000000000e+00
3.300000000000000000e+01,-1.000000000000000000e+02,0.000000000000000000e+00
3.400000000000000000e+01,-1.000000000000000000e+02,0.000000000000000000e+00
3.500000000000000000e+01,-9.800000000000000000e+01,1.989974874213239886e+01
3.600000000000000000e+01,-1.000000000000000000e+02,0.000000000000000000e+00
3.700000000000000000e+01,-9.200000000000000000e+01,3.919183588453084610e+01
3.800000000000000000e+01,-1.000000000000000000e+02,0.000000000000000000e+00
3.900000000000000000e+01,-9.800000000000000000e+01,1.989974874213239886e+01
4.000000000000000000e+01,-9.800000000000000000e+01,1.989974874213239886e+01
4.100000000000000000e+01,-9.600000000000000000e+01,2.800000000000000000e+01
4.200000000000000000e+01,-1.000000000000000000e+02,0.000000000000000000e+00
4.300000000000000000e+01,-1.000000000000000000e+02,0.000000000000000000e+00
4.400000000000000000e+01,-9.800000000000000000e+01,1.989974874213239886e+01
4.500000000000000000e+01,-9.600000000000000000e+01,2.800000000000000000e+01
4.600000000000000000e+01,-1.000000000000000000e+02,0.000000000000000000e+00
4.700000000000000000e+01,-9.800000000000000000e+01,1.989974874213239886e+01
4.800000000000000000e+01,-9.600000000000000000e+01,2.800000000000000000e+01
4.900000000000000000e+01,-9.600000000000000000e+01,2.800000000000000000e+01
5.000000000000000000e+01,-9.600000000000000000e+01,2.800000000000000000e+01
5.100000000000000000e+01,-9.200000000000000000e+01,3.919183588453084610e+01
5.200000000000000000e+01,-9.400000000000000000e+01,3.411744421846395880e+01
5.300000000000000000e+01,-9.200000000000000000e+01,3.919183588453084610e+01
5.400000000000000000e+01,-9.200000000000000000e+01,3.919183588453084610e+01
5.500000000000000000e+01,-9.400000000000000000e+01,3.411744421846395880e+01
5.600000000000000000e+01,-9.600000000000000000e+01,2.800000000000000000e+01
5.700000000000000000e+01,-8.800000000000000000e+01,4.749736834815166731e+01
5.800000000000000000e+01,-9.000000000000000000e+01,4.358898943540673798e+01
